Nama SKU;Jumlah Penjualan;Harga Penjualan;Estimasi GMV;Number Of Page
ROCKBROS DCBT69 Botol Minum Sepeda Olahraga 750ml - Water Drink Bottle - White;3;39400;118200;1
ROCKBROS 4522L Pompa Sepeda Portable 80 PSI Pentil Kecil Besar AV/FV - Orange;4;47400;189600;1
ROCKBROS RKS515 Kunci Gembok Sepeda-Bike Bicycle Lock Ring 110CM - Red;4;41000;164000;1
Pompa Ban Sepeda Motor Bola Rockbros Pump 380G 160 PSI Pompa sepeda;1;115000;115000;1
Rockbros W009 Tas Stang Sepeda Selempang Handlebar Bicycle Sling Bag;11;135000;1485000;1
ROCKBROS LF8464 Masker Balaclava Slayer Motor Sepeda Cycling Face Mask;80;53900;4312000;1
ROCKBROS Arm Sleeve Sunscreen Protection Manset Pelindung Sinar UV SPF;1;25000;25000;1
Manset Tangan Sepeda Rockbros Original anti UV Arm sleeve Pria Wanita;500;59000;29500000;1
ROCKBROS LF8065 Masker Balaclava Sepeda Slayer Motor Face Mask Scarf B;7;36800;257600;1
ROCKBROS XT9002 Manset Tangan Sepeda Cycling Arm Sleeve Pria Wanita;10;11200;112000;1
ROCKBROS 32420515001 Kunci Gembok Sepeda Bike Bicycle Lock Ring 95CM;250;57000;14250000;1
ROCKBROS 40210003 Handgrip Sepeda Tutup Setang Bicycle Grips Leather;250;55000;13750000;1
ROCKBROS S099 Sarung Tangan Sepeda Bike Half Finger Gloves;500;43500;21750000;1
ROCKBROS RKS515 Kunci Gembok Sepeda Bicycle Lock Ring with Bracket;4;39700;158800;1
ROCKBROS S202 Sarung Tangan Sepeda Non Padding Half Finger Gloves;250;57000;14250000;1
ROCKBROS DCBT68 Botol Minum Sepeda Olahraga Bidon 600ml Water Bottle;1;36374;36374;1
ROCKBROS Kacamata Sepeda 10119 10109 Cycling Eyewear Sunglasses 3 Lens;100;146999;14699900;1
ROCKBROS S202-1 Sarung Tangan Sepeda Anti UV Bike Gloves Full Finger;100;62500;6250000;1
ROCKBROS LF8112 Long Masker Balaclava Slayer Motor Sepeda Anti UV;1;44500;44500;1
ROCKBROS S106 Sarung Tangan Sepeda Bike Glove Half Finger Pria Wanita;2;56000;112000;1
ROCKBROS WB-001B - Masker Wajah Sepeda Anti UV Scarf Slayer - 2 warna;1;35100;35100;1
ROCKBROS WB002 Masker Sport Sepeda - Face Mask Scarf Bandana Ice;250;41200;10300000;1
ROCKBROS 2011-7A Standar Sepeda Samping Bicycle Kick Stand Adjustable;1;40900;40900;1
ROCKBROS S196 Sarung Tangan Sepeda Bike Gloves Half finger;100;97400;9740000;1
ROCKBROS S106 Bike Glove Half Finger – Sarung Tangan Sepeda 2 Warna;1;53000;53000;1
ROCKBROS D45 Cycling Sport Gym Run Bottle Waist Bag Tas Botol Pinggang;40;77300;3092000;1
ROCKBROS BC01 Pegangan Botol Minum Sepeda Bicycle Bottle Cage Holder;1;24100;24100;1
